910GWBRMPTN,West Brompton Rail Station,NaptanRailStation,51.487061,-0.195593,london-overground,yes,3+4,"West Croydon station,London Road,Croydon,Greater London,CR0 2TA"
910GWCHAPEL,Whitechapel Rail Station,NaptanRailStation,51.519469,-0.059757,london-overground,yes,4,"Woodgrange Park station,Romford Road,Manor Park,London,E7 8AF"
910GWCROYDN,West Croydon Rail Station,NaptanRailStation,51.378428,-0.102585,london-overground,yes,3,"Wood Street,Walthamstow,E17 3LX"
910GWDGRNPK,Woodgrange Park Rail Station,NaptanRailStation,51.549264,0.044423,london-overground,yes,2,"White Hart Lane,Tottenham,N17 8HH"
910GWDST,Wood Street Rail Station,NaptanRailStation,51.58658,-0.002405,london-overground,yes,2+3,"West Hampstead Railway Station,West End Lane,West Hampstead,NW6 2LJ"
910GWHHRTLA,White Hart Lane Rail Station,NaptanRailStation,51.605037,-0.070914,london-overground,yes,3,"Willesden Junction,London Overground Ltd.,Station Approach,Harlesden,NW10 4UY"
910GWHMDSTD,West Hampstead Rail Station,NaptanRailStation,51.547468,-0.191185,london-overground,no,3,"Walthamstow Queen's Road station,Edinburgh Road,Walthamstow,London,E17 7QJ"
910GWLSDJHL,Willesden Junction Rail Station,NaptanRailStation,51.532497,-0.244548,london-overground,yes,4,"Walthamstow Central Station BR Hoe St,London,E17 7LP"
910GWLTHQRD,Walthamstow Queens Road Rail Station,NaptanRailStation,51.581503,-0.023846,london-overground,yes,2,"Wembley Central,London Overground Ltd.,High Road,Wembley,HA9 7AJ"
910GWLTWCEN,Walthamstow Central Rail Station,NaptanRailStation,51.582919,-0.019815,london-overground,no,3,"Brayburne Avenue,London,SW4 6AD"
910GWMBY,Wembley Central Rail Station,NaptanRailStation,51.552325,-0.296433,london-overground,no,,"Wanstead Park station,Woodgrange Road,Wanstead,London,E7 0HX"
910GWNDSWRD,Wandsworth Road Rail Station,NaptanRailStation,51.470216,-0.13852,london-overground,,,
910GWNSTDPK,Wanstead Park Rail Station,NaptanRailStation,51.551693,0.026213,london-overground,,,
