id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host name
6534595,34175666,Westminster,51.51249181,-0.16375793,Private room,50,2,4,31/08/2015,2,1,169,Double Bedroom Hyde Park MarbleArch,David
7180350,7773328,Southwark,51.50070094,-0.046889671,Private room,50,1,7,31/08/2015,4.47,4,349,Nice Double Room in modern Apt ,Juan Carlos
2569670,13157219,Lambeth,51.49937394,-0.110886529,Private room,50,1,91,31/08/2015,5.35,3,248,Spacious Double Room Central London,Pepe
7895435,35955666,Southwark,51.49688157,-0.103554,Private room,50,1,1,31/08/2015,1,1,4,Bright airy room near centre,Daniele
6898292,20145713,Southwark,51.49558111,-0.104176327,Private room,50,1,6,31/08/2015,3.53,1,161,Large Dbl Room in Z1 Character Flat,Ellie
1985593,10244100,Lambeth,51.48677532,-0.125337486,Private room,50,2,118,31/08/2015,5.58,1,315,Amazing riverside location wifi,Serena
1805010,9461162,Lambeth,51.47128882,-0.120577962,Private room,50,2,38,31/08/2015,1.7,1,345,Double Room Close to Tube Station,Oliver
6741920,35302449,Wandsworth,51.44518743,-0.165451701,Private room,50,1,6,31/08/2015,2.2,1,351,A lovely cosy attic bedroom,Julie
6340254,32646257,Hammersmith and Fulham,51.50636753,-0.233704096,Entire home/apt,50,2,4,31/08/2015,4,1,91,STUDIO avec Jardin priv,Caroline
7033109,36871947,Camden,51.57036609,-0.149434345,Private room,49,2,9,31/08/2015,4.22,1,43,Bedroom bathroom Georgian House,Susie
7272761,14222330,Westminster,51.53052115,-0.178636542,Private room,49,1,7,31/08/2015,4.77,1,321,Heart of leafy St Johns Wood,Peter
5872789,4891038,Hackney,51.52886158,-0.077012141,Private room,49,1,43,31/08/2015,8.66,2,335,Buzzing Warehouse in Shoreditch,Jon
7522447,39418105,Westminster,51.52647904,-0.1916575,Private room,49,1,4,31/08/2015,4,1,22,comfortable room in Maida Vale,Jack
